Snippet ID,Before Dataset Path,After Dataset Path,Before SHA256,After SHA256,Accepted Study Row Count,Accepted Study Row IDs,Recommendation Group,Identical Before After
so_29226591_block_2,dataset/before_agress_yes/so_29226591_block_2.java,dataset/after_agress_yes/so_29226591_block_2.java,e99cca2ab56689fa638e323d4b999f0b5f83bbd0b31cdc2215791580c63badc1,213156717c22542af6c6187910b453a2ebf1395b16933bc8933be7ca4e67aca5,1,44,Improving Code,NO
so_29230939_block_4,dataset/before_agress_yes/so_29230939_block_4.java,dataset/after_agress_yes/so_29230939_block_4.java,ccfa95fcc0ba216d9a68d4dfd1c4640497a2acf2c4f4e0febf691422e996b2c8,ccfa95fcc0ba216d9a68d4dfd1c4640497a2acf2c4f4e0febf691422e996b2c8,4,258;259;335;336,Improving Code,YES
so_29330741_block_6,dataset/before_agress_yes/so_29330741_block_6.java,dataset/after_agress_yes/so_29330741_block_6.java,9307832391140acf4a96db84b514584bd55eca9e37b43841df3abf69ad712e43,9307832391140acf4a96db84b514584bd55eca9e37b43841df3abf69ad712e43,10,51;71;252;301;320;338;362;382;446;757,Improving Code,YES
so_29548090_block_4,dataset/before_agress_yes/so_29548090_block_4.java,dataset/after_agress_yes/so_29548090_block_4.java,6b90dea73cd58ce18ee8e9badc51e4c4b58240e3b2a65c0b40c42a085927e1ad,9f7e8685039d021fb3399b7c3c436c57eb37ee08b2ed4f700b521c80050fc60b,2,26;427,Improving Code,NO
so_29575747_block_2,dataset/before_agress_yes/so_29575747_block_2.java,dataset/after_agress_yes/so_29575747_block_2.java,b78d3ba26e7694dac38df31ee8599e50b7c206c64e7aaf74861d6dc431ee579e,574e8bc2f4533a95d494a78a241a9b466f13a7ff0d4a2cc9070f48b6857967e4,1,481,Improving Code,NO
so_29866762_block_2,dataset/before_agress_yes/so_29866762_block_2.java,dataset/after_agress_yes/so_29866762_block_2.java,f2d6cbd0090a5f2d602e8ecb6f9e7d1f017c9b1874ab1fd7662f6c775d2ff52c,f2d6cbd0090a5f2d602e8ecb6f9e7d1f017c9b1874ab1fd7662f6c775d2ff52c,12,47;48;67;143;255;298;316;332;359;378;423;573,Improving Code,YES
so_30952083_block_2,dataset/before_agress_yes/so_30952083_block_2.java,dataset/after_agress_yes/so_30952083_block_2.java,b18c63e54d18e9ff6863cc9cce6643ecafa5c823f705753f873044ca5c8ae870,892609dcc7fa9b621f8400bf44732694b5940a334a03934f90b6377aca5a8d64,1,186,Bug Fixing,NO
so_31868761_block_4,dataset/before_agress_yes/so_31868761_block_4.java,dataset/after_agress_yes/so_31868761_block_4.java,22886ca135cb98f1b5e1147bf37f34819a8e4f2b214a51adfd8c8c151ea8d68d,22886ca135cb98f1b5e1147bf37f34819a8e4f2b214a51adfd8c8c151ea8d68d,1,344,Improving Code,YES
so_32164598_block_8,dataset/before_agress_yes/so_32164598_block_8.java,dataset/after_agress_yes/so_32164598_block_8.java,448fa3eaf137d350088b3fe97cd82eae4e6a934f1deefbe92ccdcd68c198f5d9,af2f3b2d3535b9b160b6fb5541de8eba1cdece49d577bc7ea9c189213e33d9e1,3,228;247;774,Bug Fixing,NO
so_32855556_block_4,dataset/before_agress_yes/so_32855556_block_4.java,dataset/after_agress_yes/so_32855556_block_4.java,d38d855bb2dd2c500f587c08e1509c4aa6cb3dff0eea86430df2ac4a8e55fe17,09b1a1afe44f87fa0ae926403e6269b960e62708c05134dd5bd0c258ad6b9cdd,2,39;735,Improving Code,NO
so_33085670_block_2,dataset/before_agress_yes/so_33085670_block_2.java,dataset/after_agress_yes/so_33085670_block_2.java,777016c39c79029434891b376cf649f5cb5cf12f708b6fb6ea3fea931770a481,dd24a5338f6432d0475bf59fa6c6f4d2d84b3634510849ddc212f3a925e7bc0e,1,623,Improving Code,NO
so_33270545_block_2,dataset/before_agress_yes/so_33270545_block_2.java,dataset/after_agress_yes/so_33270545_block_2.java,6455bbac135345e2816b17b037ae8ae37d18e9c845fa1f271f7b21a42984bc77,f9249842926d29256928e4e7fea1d08d3a471a523fb0550e643fdfe54e3b6927,1,593,Improving Code,NO
so_33561612_block_2,dataset/before_agress_yes/so_33561612_block_2.java,dataset/after_agress_yes/so_33561612_block_2.java,406110e4b09bcf8f5b8ed155e2e17cc830512c3be5db286d38d6447eca5ed56b,3f06c9271458533d7554ee99988b3cf1b1b5852312c3bb4835fda325781c9e12,4,110;242;603;721,Improving Code,NO
so_33943576_block_2,dataset/before_agress_yes/so_33943576_block_2.java,dataset/after_agress_yes/so_33943576_block_2.java,4657d206372030326c72e6cff1df1d072fdd2fac0e550859c91890533c32e632,f27e10e017024c3ec8aa9f91d6eb0ac7d63718faf9b765f86b65db7e81a77f52,1,622,Bug Fixing,NO
so_34174309_block_2,dataset/before_agress_yes/so_34174309_block_2.java,dataset/after_agress_yes/so_34174309_block_2.java,b9819eaf8e074fce22e962f70cebc2e3e9db218554c1fdc41d96a6caa8e5250a,5bb571963e291571d7b1d18eb9d1858ee62f13262a44740b046b14d0e83de13d,1,510,Improving Code,NO
so_34590765_block_2,dataset/before_agress_yes/so_34590765_block_2.java,dataset/after_agress_yes/so_34590765_block_2.java,0eb7f809af4200c1f41540a6ddb25c8b75ace5ab6beb069285d53c130b0118e9,98a1aeeada23f2bf912050a3217443460a747619bcdbca5c221bc05d5ceea4cc,4,488;489;490;491,Bug Fixing,NO
so_34717151_block_6,dataset/before_agress_yes/so_34717151_block_6.java,dataset/after_agress_yes/so_34717151_block_6.java,37edd2adcf486081ab9cd8abc1d7dc41ec0dede12a1e78cca98ae265ecf80441,8a238578ec0e00a03426375c0226620d4cad69049af1ab6735040ee43a7861e2,4,610;611;612;619,Improving Code,NO
so_35094888_block_2,dataset/before_agress_yes/so_35094888_block_2.java,dataset/after_agress_yes/so_35094888_block_2.java,b627d3d619e9c734afdcabec6ca0ec189decffd1a94a6cd684f50a8023ec3a4a,b8476515be63d66c862387d4f1b7ea348a1f25f7782854fdcdc67cd838f5633a,1,42,Improving Code,NO
so_3519182_block_2,dataset/before_agress_yes/so_3519182_block_2.java,dataset/after_agress_yes/so_3519182_block_2.java,9fe8cb98c927d3e5910df38b7d8814640c1c40f88341d0f01e97d1bb9039aa13,bb547f8ab7877eb7ee85e48ebe26592786ce00ea84a137134e21a95f5151ce91,3,9;210;239,MULTIPLE_TYPES,NO
so_359634_block_2,dataset/before_agress_yes/so_359634_block_2.java,dataset/after_agress_yes/so_359634_block_2.java,4f978fabff5a6c65dc3b1e1626e7a3b076e09639fa01fd0d59f681312f7dde5a,66e99e0d8b7540339ac9cb804e9ea99ad7ba28fa9bfd17bc8fa37c24f7662a9d,2,24;784,Bug Fixing,NO
so_36789749_block_6,dataset/before_agress_yes/so_36789749_block_6.java,dataset/after_agress_yes/so_36789749_block_6.java,9bd84cb8f94b4210af9de2a2f9190960bc0bffd3d129c9af514d93e760dba75b,3cde6fdf9cb874ed5c4e7e7557a42ba9088e7a42779de456d570f1705ed64ed1,1,534,Improving Code,NO
so_36805363_block_2,dataset/before_agress_yes/so_36805363_block_2.java,dataset/after_agress_yes/so_36805363_block_2.java,bc6c3cb88a0388ada0e42fdedda83c49f7b7ff72e37becd184ad203cc0d54035,0b3c5ee603e76dab4229063802e1a467054d3c82a11e50ee3e7424550dcfcdeb,1,86,Improving Code,NO
so_36950444_block_6,dataset/before_agress_yes/so_36950444_block_6.java,dataset/after_agress_yes/so_36950444_block_6.java,729946cd1ca1850b56c31b18a18fda416fc7878464fe37838f42e6ac7cbeeb00,92972a8e4c15d9bb32be2ee1c17d15a09b78c47f9ccb61c905c29d17359f7f9e,1,43,Improving Code,NO
so_3775893_block_6,dataset/before_agress_yes/so_3775893_block_6.java,dataset/after_agress_yes/so_3775893_block_6.java,98611ee6c66c7cb6e1a14d5e1fc2d3e3cadbf689bbf7ea38106eea835c0c26fa,98611ee6c66c7cb6e1a14d5e1fc2d3e3cadbf689bbf7ea38106eea835c0c26fa,2,195;196,Improving Code,YES
so_37957745_block_2,dataset/before_agress_yes/so_37957745_block_2.java,dataset/after_agress_yes/so_37957745_block_2.java,39bd83dcd5b2797ee1066d4894cad87da72a8ae206b13eda8c9d543ed478fa38,8939a108f339bbe400d36a237dafdb9c6e823cc7b355e172411716a2c58b8716,1,324,Bug Fixing,NO
so_38367701_block_2,dataset/before_agress_yes/so_38367701_block_2.java,dataset/after_agress_yes/so_38367701_block_2.java,4161468fc63a2fde71a1d30bbf1cb6d725b673bb76a2d9c811401ef82103d9da,1e9cd4fd7705c788c2cdb7f53ebee711ba578ac7ce2915f3523ae046388039e7,1,548,Improving Code,NO
so_3870210_block_4,dataset/before_agress_yes/so_3870210_block_4.java,dataset/after_agress_yes/so_3870210_block_4.java,0dabec2490d466f1417df15a9f28dc024641561f2623fea0145b7d6cacc1f653,a1a6f6663976660036d12becac1cd2540321d5047a4760d7f9d574cef36c7411,6,145;438;462;529;575;696,Improving Code,NO
so_40056844_block_2,dataset/before_agress_yes/so_40056844_block_2.java,dataset/after_agress_yes/so_40056844_block_2.java,24257270a176a59ee4e667e2a3f19ac9828385982ebfdc6710df06de13ab3ede,afe15d212a85e72f2d346781e044ab31cb89276f7483c6d494ca57ca860136bf,13,421;556;557;558;559;560;561;562;563;564;565;566;567,MULTIPLE_TYPES,NO
so_40317313_block_6,dataset/before_agress_yes/so_40317313_block_6.java,dataset/after_agress_yes/so_40317313_block_6.java,7dfa936786cc67d3c037027a692310b13e7659b872d9f332cc8856b63f299eeb,0846ff12cccd2aca1014be3f2cc2b9f30a89e534115f461331ae822a8eab0dcb,1,681,Improving Code,NO
so_41225553_block_2,dataset/before_agress_yes/so_41225553_block_2.java,dataset/after_agress_yes/so_41225553_block_2.java,49c241681ddc58a2ad13b4dec2528e01a7d95a60d9e0a536a7b0b40c363c0558,03250ba56bda6aab12a1cbdb4108a9160e9e1ba7bfb97f47a8742c608b8fee3a,1,328,Improving Code,NO
so_41251473_block_6,dataset/before_agress_yes/so_41251473_block_6.java,dataset/after_agress_yes/so_41251473_block_6.java,46cdf0e2d3120c5fb652e05563d06b9a0b9c2cf1ec41bf5ed7beaf2b4315bf27,2895ef2e11b37ff63a6796e06c8a0105f729d026ccfd139d8abcb923a8f927b9,6,87;176;194;200;201;251,Improving Code,NO
so_41471859_block_4,dataset/before_agress_yes/so_41471859_block_4.java,dataset/after_agress_yes/so_41471859_block_4.java,a4646713e7ae23e9018b56247f604bbd97a0518229959de975f79e394edcd6b7,7cc1b1e1cfeac678e13aea982909ac46150af0f6e6731059f1a51953f4d41cc4,1,16,Improving Code,NO
so_41588054_block_2,dataset/before_agress_yes/so_41588054_block_2.java,dataset/after_agress_yes/so_41588054_block_2.java,6407e5b92fd3f0df67dca36f566404d2b52e4922eb040d73f536220ce3c68abe,a495e28eae97ecee06ada0ea6dfd04017f4b79dea128b133a06112f9f4b0b2be,1,281,Improving Code,NO
so_41751396_block_8,dataset/before_agress_yes/so_41751396_block_8.java,dataset/after_agress_yes/so_41751396_block_8.java,b6163466e5b4998da9ae539b779c232eea33aba7b0aef12d7c4091f9e3681cd0,b6163466e5b4998da9ae539b779c232eea33aba7b0aef12d7c4091f9e3681cd0,3,137;138;139,Improving Code,YES
so_41800354_block_2,dataset/before_agress_yes/so_41800354_block_2.java,dataset/after_agress_yes/so_41800354_block_2.java,870da65346e92d76b5178a2bb6813b117d2771830e38c8e025ed0c75d3f48ca3,adf6f35bcf21ebdea41f51e92e1244536a0d973b4a83239c8ff782a286ad344e,1,116,Improving Code,NO
so_42681543_block_4,dataset/before_agress_yes/so_42681543_block_4.java,dataset/after_agress_yes/so_42681543_block_4.java,f4cc84a6827414a0f33730ebef919fb9352772e8c355802cb33ca1d370555d68,cea4e78cd66b0ececa31d3a51c7b9e75b79d79c5fc7d531eeacd69850e3ca56a,4,164;166;523;527,MULTIPLE_TYPES,NO
so_4429257_block_2,dataset/before_agress_yes/so_4429257_block_2.java,dataset/after_agress_yes/so_4429257_block_2.java,a20fac73d781f23f09f3fce794e7e1072bf712145ef78229c63e338565117572,3bff83ed5d01e562c18a5534b800c04be01f460ebbfb5b5a715d0c6915239603,8,18;31;95;98;198;349;535;540,MULTIPLE_TYPES,NO
so_453067_block_2,dataset/before_agress_yes/so_453067_block_2.java,dataset/after_agress_yes/so_453067_block_2.java,bec6f00ca9ec803d02d0496fe6b4c00928b98b01818bb04e97a263c729ba01a6,50adf61ebdca4f0974f96d3657ce7cc2318aba152f1e396352f03c105a987f42,2,474;668,Improving Code,NO
so_45774144_block_4,dataset/before_agress_yes/so_45774144_block_4.java,dataset/after_agress_yes/so_45774144_block_4.java,1216f5c4f1f44d6e392f399cf6b2f85caa4164c01226ec09a1192dbb79fae81c,6f2d006bf421a42f38ba5c2aab1c42442d2dbf11d8d86b7321c81057421ee7a3,1,53,Improving Code,NO
so_46830988_block_4,dataset/before_agress_yes/so_46830988_block_4.java,dataset/after_agress_yes/so_46830988_block_4.java,73ad567e827a0c242a3d4dca670e673db9bfe0077c48eaf8d743be9a61a6bd3c,04f1af82ab5ef3bd62bb61923457ae2036fa2e587b7eb736660af6c1c77a813c,1,333,Improving Code,NO
so_46887834_block_2,dataset/before_agress_yes/so_46887834_block_2.java,dataset/after_agress_yes/so_46887834_block_2.java,f7ec155e0585704387e4335e233397d422a2264f46bbd8fdeacf66898273692f,d7ee5c40913edec17a358574d33363cde48c6d9227acfc45aa8bbd7c3f27b22c,3,181;182;503,Bug Fixing,NO
so_47622507_block_4,dataset/before_agress_yes/so_47622507_block_4.java,dataset/after_agress_yes/so_47622507_block_4.java,ad816577a75d8c02a09013767dd27254c8d5777243a15acc0ba05c1acbb08857,69608ebb6b561bf2f3c2df6a2d8e7d44e70673d5a22dc4cc9a86992550c2fee7,1,235,Improving Code,NO
so_50578162_block_2,dataset/before_agress_yes/so_50578162_block_2.java,dataset/after_agress_yes/so_50578162_block_2.java,06036c02c8b19887b7bb112b8f81833c805c6ec8779346aad09ebb35373658b6,0aede1d97bb844fb057280b72a193d2f1f68437bd90be7fc4f3123b4f7538705,2,319;337,Improving Code,NO
so_50738131_block_2,dataset/before_agress_yes/so_50738131_block_2.java,dataset/after_agress_yes/so_50738131_block_2.java,35b5bc13024c12663fb74839a322ceb48a49b4faf69bac0246130a69297ea75e,b68841ee1552ce986185fce6fba813a20e181841be5422e9315bbe4c3f47f161,1,88,Improving Code,NO
so_51608517_block_2,dataset/before_agress_yes/so_51608517_block_2.java,dataset/after_agress_yes/so_51608517_block_2.java,cda3743fef82ec3fd27bfd1306760b4e16bcd851bc4be8779b5269cf13d66289,ad69813b769521467d19463ccbca5beb345e91795b5192453204018f3fffdc0c,2,677;678,Improving Code,NO
so_52144662_block_2,dataset/before_agress_yes/so_52144662_block_2.java,dataset/after_agress_yes/so_52144662_block_2.java,38c9b0af6c7b72fb8ef335c608cc0a29de5a06db345a15d0b0df9d5bd2ba2176,6a7cf28dc7e28556e0f014a659ecad07fd495f497b931efe70358582b46bc1b7,13,123;177;180;197;202;266;323;353;420;464;539;738;783,Improving Code,NO
so_52148106_block_4,dataset/before_agress_yes/so_52148106_block_4.java,dataset/after_agress_yes/so_52148106_block_4.java,138171008c927af08327a9ceef6bacfd9772f1248905d4ed6754ebf6aa7acb4b,9a20662a95564400a003bd7702ee39811b22ce9275115c2b44dad56cfd25a91b,12,32;33;34;35;36;37;38;596;625;626;627;695,Improving Code,NO
so_53110509_block_2,dataset/before_agress_yes/so_53110509_block_2.java,dataset/after_agress_yes/so_53110509_block_2.java,f07d5603692a15b0a3f217aca9e3469216ffc89094774454b047d2d09ac75b94,a7d5d9855bca8c40d55625821efcfb9e9afee631986d2043079d23a79f02efe4,1,233,Improving Code,NO
