Snippet ID,Stack Overflow Question ID,Code Block Number,Status,Exclusion Reason,Before Dataset Path,After Dataset Path,Original Source Path,After Source Path,After Selection Rule,Selected Paths In Study,Before SHA256,After SHA256,Before Lines,After Lines,Before Bytes,After Bytes,Identical Before After,Study Pair Count,Study Pair IDs,Accepted Pair Count,Rejected Pair Count,Validation Group,Recommendation Types
so_2180534_block_2,2180534,2,ELIGIBLE,"",dataset/before/so_2180534_block_2.java,dataset/after/so_2180534_block_2.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/2180534/2180534_2_original.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/2180534/2180534_2_recent.java,RECENT_SNAPSHOT,2180534/2180534_2_recent.java,b98de6e142579248de3a50d92406f61246fd157c32b1a7cb6af88ba8b8e72651,768112a15fb64d9934efb45049d46f5972258baf290e6a6ca4e0933d19ed3eb8,59,58,1784,1773,NO,1,221,1,0,ALL_ACCEPTED,Bug Fixing
so_2275596_block_2,2275596,2,ELIGIBLE,"",dataset/before/so_2275596_block_2.java,dataset/after/so_2275596_block_2.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/2275596/2275596_2_original.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/2275596/2275596_2_recent.java,RECENT_SNAPSHOT,2275596/2275596_2_recent.java,953f9b5186e2ed017544c8436201c5dc357668688a8f74225aa27c62728e8a05,ecde1051f9257bacb3f51c9fa8c88b57001ecf3cbdc632a56bb7d98890d031e0,29,34,1002,1181,NO,1,781,1,0,ALL_ACCEPTED,Bug Fixing
so_2325407_block_2,2325407,2,ELIGIBLE,"",dataset/before/so_2325407_block_2.java,dataset/after/so_2325407_block_2.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/2325407/2325407_2_original.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/2325407/2325407_2_recent.java,RECENT_SNAPSHOT,2325407/2325407_2_recent.java,bd05ca702197c9a62be41fef9a59be69f2b38e0963d9f31e322f6ceab55f02f7,8933a1f1f1ab6071d6aedbb2e55e1d65bca9e84eeb43a994505c08a83b5268f2,12,12,708,730,NO,1,538,1,0,ALL_ACCEPTED,Bug Fixing
so_2699270_block_2,2699270,2,ELIGIBLE,"",dataset/before/so_2699270_block_2.java,dataset/after/so_2699270_block_2.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/2699270/2699270_2_original.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/2699270/2699270_2_recent.java,RECENT_SNAPSHOT,2699270/2699270_2_recent.java,81a243247faf46a58b15fe958967cb51bcd95a23954895469bb137e2fa491fba,9c573156702f76308f6ff8b107ba9999d818ff5649980a7575e81dfc80d03364,16,18,375,483,NO,2,723;507,0,2,ALL_REJECTED,""
so_3519182_block_2,3519182,2,ELIGIBLE,"",dataset/before/so_3519182_block_2.java,dataset/after/so_3519182_block_2.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/3519182/3519182_2_original.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/3519182/3519182_2_recent.java,RECENT_SNAPSHOT,3519182/3519182_2_7342658.java,9fe8cb98c927d3e5910df38b7d8814640c1c40f88341d0f01e97d1bb9039aa13,bb547f8ab7877eb7ee85e48ebe26592786ce00ea84a137134e21a95f5151ce91,28,19,777,588,NO,5,711;239;9;210;617,3,2,MIXED,Bug Fixing;Improving Code
so_3775893_block_6,3775893,6,ELIGIBLE,"",dataset/before/so_3775893_block_6.java,dataset/after/so_3775893_block_6.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/3775893/3775893_6_original.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/3775893/3775893_6_recent.java,RECENT_SNAPSHOT,3775893/3775893_6_recent.java,98611ee6c66c7cb6e1a14d5e1fc2d3e3cadbf689bbf7ea38106eea835c0c26fa,98611ee6c66c7cb6e1a14d5e1fc2d3e3cadbf689bbf7ea38106eea835c0c26fa,25,25,941,941,YES,2,195;196,2,0,ALL_ACCEPTED,Improving Code
so_3870210_block_4,3870210,4,ELIGIBLE,"",dataset/before/so_3870210_block_4.java,dataset/after/so_3870210_block_4.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/3870210/3870210_4_original.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/3870210/3870210_4_recent.java,RECENT_SNAPSHOT,3870210/3870210_4_recent.java,0dabec2490d466f1417df15a9f28dc024641561f2623fea0145b7d6cacc1f653,a1a6f6663976660036d12becac1cd2540321d5047a4760d7f9d574cef36c7411,41,29,1485,1032,NO,6,438;462;575;145;696;529,6,0,ALL_ACCEPTED,Improving Code
so_4305365_block_2,4305365,2,ELIGIBLE,"",dataset/before/so_4305365_block_2.java,dataset/after/so_4305365_block_2.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/4305365/4305365_2_original.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/4305365/4305365_2_recent.java,RECENT_SNAPSHOT,4305365/4305365_2_recent.java,e96863722316a47f67d07da7dc4b760a8e2999bcfde4b7cf95e0794ae8e9321b,f2de388d2e07c536c3d366ceb9259e719f228eeac5e41b6e2748263cae9f6245,44,44,1383,1331,NO,2,245;689,0,2,ALL_REJECTED,""
so_4429257_block_2,4429257,2,ELIGIBLE,"",dataset/before/so_4429257_block_2.java,dataset/after/so_4429257_block_2.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/4429257/4429257_2_original.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/4429257/4429257_2_recent.java,RECENT_SNAPSHOT,4429257/4429257_2_9347476.java,a20fac73d781f23f09f3fce794e7e1072bf712145ef78229c63e338565117572,3bff83ed5d01e562c18a5534b800c04be01f460ebbfb5b5a715d0c6915239603,33,28,1445,1169,NO,25,349;614;463;605;540;505;470;415;535;198;267;270;272;471;737;327;749;18;416;95;31;213;98;741;742,8,17,MIXED,Bug Fixing;Improving Code
so_5061920_block_1,5061920,1,EXCLUDED,MISSING_ORIGINAL_SNAPSHOT,"","","",/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/5061920/5061920_1_recent.java,RECENT_SNAPSHOT,5061920/5061920_1_recent.java,"","","","","","","",2,403;404,2,0,ALL_ACCEPTED,Improving Code
so_5079864_block_2,5079864,2,ELIGIBLE,"",dataset/before/so_5079864_block_2.java,dataset/after/so_5079864_block_2.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/5079864/5079864_2_original.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/5079864/5079864_2_recent.java,RECENT_SNAPSHOT,5079864/5079864_2_136918794.java,1dbf7c5814fd8297b5dea75cb114b2cba2161b41206a5f1d97ff785aef23a4e3,9b84a0bb3c0957cdc1a58c2543a1a076702c16f12cc8d61901f4350f0dccf3e2,13,5,465,343,NO,2,277;487,0,2,ALL_REJECTED,""
so_6133827_block_2,6133827,2,ELIGIBLE,"",dataset/before/so_6133827_block_2.java,dataset/after/so_6133827_block_2.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/6133827/6133827_2_original.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/6133827/6133827_2_recent.java,RECENT_SNAPSHOT,6133827/6133827_2_recent.java,8cec22957e98b838c0160f4964f0674c46d5340039a934b2912d5212f3c1edad,37fde04a31bc61d46c4eef149e87e8239eccf27edb1102b2f06d4f31e76bea11,432,428,17474,17573,NO,1,547,0,1,ALL_REJECTED,""
so_6236324_block_2,6236324,2,ELIGIBLE,"",dataset/before/so_6236324_block_2.java,dataset/after/so_6236324_block_2.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/6236324/6236324_2_original.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/6236324/6236324_2_recent.java,RECENT_SNAPSHOT,6236324/6236324_2_recent.java,c9df2036e47f9a9627072872705d66b0765c3f4f169a452666a3ab150c03ebff,8bd330a5c0fec90e76e15c2fbd6c6f1bff45921151b4a65ee07ffe3c8397d904,522,521,15235,16340,NO,9,712;713;714;715;716;717;551;191;192,3,6,MIXED,Improving Code
so_6702029_block_1,6702029,1,ELIGIBLE,"",dataset/before/so_6702029_block_1.java,dataset/after/so_6702029_block_1.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/6702029/6702029_1_original.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/6702029/6702029_1_117495632.java,SELECTED_LATEST_AVAILABLE,6702029/6702029_1_117495632.java,2bdeaf08446f8c7fcae04648146b467e94f30edd6f3a6c95ce03e9fd26136a77,196ebb0cae6750d8a02c0c5286dd031565314ed962be5e349e48984bacae8b31,15,31,423,1470,NO,1,568,0,1,ALL_REJECTED,""
so_6702420_block_2,6702420,2,ELIGIBLE,"",dataset/before/so_6702420_block_2.java,dataset/after/so_6702420_block_2.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/6702420/6702420_2_original.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/6702420/6702420_2_recent.java,RECENT_SNAPSHOT,6702420/6702420_2_89518975.java,e465eb8ce279a858438a390cc6260d1b052d84409904c62443878b40063a2908,35f7ea81fd50228f85d7b99b4a3e69a358943057049ebcdb95430838a3d7f9dc,71,57,1913,1838,NO,23,273;453;400;514;515;516;517;518;519;408;58;77;25;785;369;388;764;588;589;590;496;150;308,0,23,ALL_REJECTED,""
so_6711693_block_2,6711693,2,ELIGIBLE,"",dataset/before/so_6711693_block_2.java,dataset/after/so_6711693_block_2.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/6711693/6711693_2_original.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/6711693/6711693_2_recent.java,RECENT_SNAPSHOT,6711693/6711693_2_recent.java,d1f615df21f0d4ddc03d50bf56fc5dc68cc0822b26916bf1b3c350810936feaf,5552d94448e8ad4cb5e324a7d6b983da5048eaee8d2485a5f589c1ee8af1ec46,13,20,689,907,NO,1,225,0,1,ALL_REJECTED,""
so_6788456_block_2,6788456,2,ELIGIBLE,"",dataset/before/so_6788456_block_2.java,dataset/after/so_6788456_block_2.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/6788456/6788456_2_original.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/6788456/6788456_2_recent.java,RECENT_SNAPSHOT,6788456/6788456_2_209269621.java,f1cdc8df23a8788db77f143d400492d8b4e4c82699cf796fbcc90ec7fb33983d,2f31dd6b5f0f42f763579358fb323649dd81e892378ad9b8812e9ee057ca869b,15,7,669,335,NO,10,665;666;119;120;108;109;169;170;22;23,2,8,MIXED,Improving Code
so_7607044_block_2,7607044,2,ELIGIBLE,"",dataset/before/so_7607044_block_2.java,dataset/after/so_7607044_block_2.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/7607044/7607044_2_original.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/7607044/7607044_2_recent.java,RECENT_SNAPSHOT,7607044/7607044_2_recent.java,66f37949691060e8edc90e2b5214ba782a49de305bb138fd634ef31748a6bd4c,a73c202622fdc2511fdf83b92d3cd8e56c3c57869646a38398f2050a9ab8f313,33,63,1262,2243,NO,1,189,0,1,ALL_REJECTED,""
so_7649183_block_2,7649183,2,ELIGIBLE,"",dataset/before/so_7649183_block_2.java,dataset/after/so_7649183_block_2.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/7649183/7649183_2_original.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/7649183/7649183_2_recent.java,RECENT_SNAPSHOT,7649183/7649183_2_57377731.java,d03b3ae9548c5184561cc088497755c110290e7d629b6c5579c5721f7413328a,2f6eef1eb05e2a69335d19e9f035b8501a9370348a2e01fff6f5fa20ca4226ec,10,17,259,584,NO,1,782,1,0,ALL_ACCEPTED,Improving Code
so_7901334_block_2,7901334,2,ELIGIBLE,"",dataset/before/so_7901334_block_2.java,dataset/after/so_7901334_block_2.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/7901334/7901334_2_original.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/7901334/7901334_2_recent.java,RECENT_SNAPSHOT,7901334/7901334_2_recent.java,45255bec872708d2786a046f66ea439a7e400542eaef3c6783a1dfa3859fd27c,a9aad277dc12990c1bb58181039e0f5eaeb76da1990e1f50c75561f975f98e12,84,124,2084,3543,NO,4,727;728;532;533,1,3,MIXED,Bug Fixing
so_9109728_block_6,9109728,6,ELIGIBLE,"",dataset/before/so_9109728_block_6.java,dataset/after/so_9109728_block_6.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/9109728/9109728_6_original.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/9109728/9109728_6_recent.java,RECENT_SNAPSHOT,9109728/9109728_6_recent.java,7fb1fe7dcdd73d933b8a0d25a428261ad6eea8353f2ad084bffea0733891f7ae,127fadbdac4aca8ba5eb7c9a95b7cf0333b9b38c5b9ca58cfd251d5e5d0e301a,7,69,203,2901,NO,1,345,1,0,ALL_ACCEPTED,Improving Code
so_9109728_block_8,9109728,8,EXCLUDED,MISSING_ORIGINAL_SNAPSHOT,"","","",/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/9109728/9109728_8_recent.java,RECENT_SNAPSHOT,9109728/9109728_8_133022768.java,"","","","","","","",1,346,1,0,ALL_ACCEPTED,Improving Code
so_9293885_block_2,9293885,2,ELIGIBLE,"",dataset/before/so_9293885_block_2.java,dataset/after/so_9293885_block_2.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/9293885/9293885_2_original.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/9293885/9293885_2_recent.java,RECENT_SNAPSHOT,9293885/9293885_2_recent.java,a916c369e52c88a4f6c427a680db92383847125017c9fef3af55b034cb291c19,2a7bfcda094a8dd312bb8740fe545d7bdce7f2ed7470f4dafaef302a58f8d157,12,18,364,568,NO,15,521;314;236;406;685;649;199;583;20;651;571;616;97;750;178,15,0,ALL_ACCEPTED,Bug Fixing;Improving Code
so_9709606_block_2,9709606,2,ELIGIBLE,"",dataset/before/so_9709606_block_2.java,dataset/after/so_9709606_block_2.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/9709606/9709606_2_original.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/9709606/9709606_2_recent.java,RECENT_SNAPSHOT,9709606/9709606_2_recent.java,5090c26969e3ab84280a8a899ab6bdf72c644e36c522906e7e56d3ab93d91bc1,1a5084296fd7d236000720935f0f495186e9ee7e9b6cf8a831dec9abfdd2dab0,16,19,443,506,NO,5,10;11;402;672;530,5,0,ALL_ACCEPTED,Improving Code
so_10195366_block_2,10195366,2,ELIGIBLE,"",dataset/before/so_10195366_block_2.java,dataset/after/so_10195366_block_2.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/10195366/10195366_2_original.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/10195366/10195366_2_recent.java,RECENT_SNAPSHOT,10195366/10195366_2_recent.java,a58727dc729e40407ea5156e7ea07f7e9e4410cbfe7533d3bce7b5153b168b2a,55731e677712f23637783e8065ec9b159d7ae850f6e8c3af573e2d4c44d951bb,21,21,888,894,NO,12,684;127;128;129;597;598;102;6;7;8;686;687,4,8,MIXED,Improving Code
so_10599247_block_2,10599247,2,ELIGIBLE,"",dataset/before/so_10599247_block_2.java,dataset/after/so_10599247_block_2.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/10599247/10599247_2_original.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/10599247/10599247_2_recent.java,RECENT_SNAPSHOT,10599247/10599247_2_recent.java,ecde3723d4598b1ca0eed48fe47ce655c50919139d253129621d2c633193182e,eb38dae6094bdd8bbfea30cedc56a12bc9a1bbf110e34f5d05a39342012d1e3d,20,22,771,984,NO,1,234,1,0,ALL_ACCEPTED,Improving Code
so_10774468_block_2,10774468,2,ELIGIBLE,"",dataset/before/so_10774468_block_2.java,dataset/after/so_10774468_block_2.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/10774468/10774468_2_original.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/10774468/10774468_2_recent.java,RECENT_SNAPSHOT,10774468/10774468_2_recent.java,e76af8d24ef8922c8643809fae344d88e2f37ced45c8703c727e15eecc71aa04,9e35989053f2b78c393b8d44a521b67ef3f11a117e544bcdd9ee1cca1d7b40cf,68,95,1903,2839,NO,5,439;642;159;160;161,0,5,ALL_REJECTED,""
so_10967469_block_2,10967469,2,ELIGIBLE,"",dataset/before/so_10967469_block_2.java,dataset/after/so_10967469_block_2.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/10967469/10967469_2_original.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/10967469/10967469_2_recent.java,RECENT_SNAPSHOT,10967469/10967469_2_recent.java,bcfa75ce673f8f6c3249005ad31b32c7e1a0e753295dd6561eddb4820ab7eb3b,3e7c4f1fe341b28f8fb308d941f5cb447f4d319342bdc4042123583b93fb5bde,17,20,441,523,NO,2,397;676,2,0,ALL_ACCEPTED,Improving Code
so_11838438_block_2,11838438,2,ELIGIBLE,"",dataset/before/so_11838438_block_2.java,dataset/after/so_11838438_block_2.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/11838438/11838438_2_original.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/11838438/11838438_2_recent.java,RECENT_SNAPSHOT,11838438/11838438_2_recent.java,582f83d6a63f1d916136bcd0f1f1cf2201f4dc637c41abe1afc9c01b240b2245,d80f0b1cc81680256ce8ae1bd9cd8e36f35fbfb276cb1deff70e302692888f16,33,33,1169,1169,NO,1,271,1,0,ALL_ACCEPTED,Improving Code
so_12646338_block_8,12646338,8,ELIGIBLE,"",dataset/before/so_12646338_block_8.java,dataset/after/so_12646338_block_8.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/12646338/12646338_8_original.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/12646338/12646338_8_recent.java,RECENT_SNAPSHOT,12646338/12646338_8_recent.java,aa33a77242b5fcb9e895c01a755944a1fd9ca02b63f0440c78c6feece7ab041c,3a63d146a364ec612c79efe1572273f3808631b802868cda27e65a165286d164,57,62,1762,1927,NO,4,541;543;544;545,0,4,ALL_REJECTED,""
so_12738229_block_2,12738229,2,ELIGIBLE,"",dataset/before/so_12738229_block_2.java,dataset/after/so_12738229_block_2.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/12738229/12738229_2_original.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/12738229/12738229_2_recent.java,RECENT_SNAPSHOT,12738229/12738229_2_30063703.java,e59eefc203075710a16d2ff905e25a8455e7f0647be8442e42cd1c8f6baa219e,8addf2217f2455522b6f349f1e21ced79da062b232dd2cb01dfbd2bf54569e8e,47,47,1628,1646,NO,7,104;667;473;89;90;91;92,7,0,ALL_ACCEPTED,Improving Code
so_12981202_block_2,12981202,2,ELIGIBLE,"",dataset/before/so_12981202_block_2.java,dataset/after/so_12981202_block_2.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/12981202/12981202_2_original.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/12981202/12981202_2_recent.java,RECENT_SNAPSHOT,12981202/12981202_2_recent.java,4fafc302d21e992fe019d96620317d3fece2223a477c8b3bfb135bcd6b2ef9fd,7c13fc44d0e763b3631f77790b29494bbab810a205623065d6f1296f5ab9ae66,149,186,6571,8374,NO,4,484;485;591;592,0,4,ALL_REJECTED,""
so_13329885_block_2,13329885,2,ELIGIBLE,"",dataset/before/so_13329885_block_2.java,dataset/after/so_13329885_block_2.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/13329885/13329885_2_original.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/13329885/13329885_2_recent.java,RECENT_SNAPSHOT,13329885/13329885_2_recent.java,39bed479d02383d9b0ec51750a5e8a82bf569a1e77e1c312e1575044d95f191b,f5ae0a20b933e6e7207085878e8446ebe2f770b2f9ea5c50cf63e5d94245bcab,116,154,3513,4310,NO,2,209;167,0,2,ALL_REJECTED,""
so_13462440_block_6,13462440,6,ELIGIBLE,"",dataset/before/so_13462440_block_6.java,dataset/after/so_13462440_block_6.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/13462440/13462440_6_original.java,/Users/chaiyong/Downloads/do_not_delete/Matcha_Study/java_files/13462440/13462440_6_recent.java,RECENT_SNAPSHOT,13462440/13462440_6_32050882.java,ba4b890c0b23ed577f6be46b7453b403884e0c723031b71daed72ff266690e5b,90f3828c19535b9cb830b9cf7cd1ef748f7d7d3b3cf752d1d6d0fd40e1553787,94,98,3380,3429,NO,6,440;45;356;751;141;295,6,0,ALL_ACCEPTED,Improving Code
