snippet_id,status,parse_mode,accepted_study_rows,recommendation_group,identical_before_after,before_code_lines,before_violations,before_violations_per_100_lines,after_code_lines,after_violations,after_violations_per_100_lines,delta_violations,delta_violations_per_100_lines,outcome
so_32164598_block_8,ANALYZED,CLASS_MEMBER,3,Bug Fixing,NO,13,0,0.0,12,0,0.0,0,0.0,UNCHANGED
so_32855556_block_4,ANALYZED,CLASS_MEMBER,2,Improving Code,NO,12,2,16.666666666666668,8,2,25.0,0,8.333333333333332,UNCHANGED
so_33085670_block_2,PARSE_EXCLUDED,,1,Improving Code,NO,22,0,0.0,19,0,0.0,0,0.0,UNCHANGED
so_33270545_block_2,ANALYZED,RAW,1,Improving Code,NO,45,1,2.2222222222222223,42,0,0.0,-1,-2.2222222222222223,IMPROVED
so_33561612_block_2,PARSE_EXCLUDED,,4,Improving Code,NO,29,0,0.0,30,0,0.0,0,0.0,UNCHANGED
so_33943576_block_2,PARSE_EXCLUDED,,1,Bug Fixing,NO,15,0,0.0,11,0,0.0,0,0.0,UNCHANGED
so_34174309_block_2,ANALYZED,RAW,1,Improving Code,NO,77,2,2.5974025974025974,79,2,2.5316455696202533,0,-0.06575702778234405,UNCHANGED
so_34590765_block_2,ANALYZED,RAW,4,Bug Fixing,NO,104,2,1.9230769230769231,128,3,2.34375,1,0.42067307692307687,WORSENED
so_34717151_block_6,ANALYZED,METHOD_BODY,4,Improving Code,NO,52,7,13.461538461538462,52,7,13.461538461538462,0,0.0,UNCHANGED
so_35094888_block_2,PARSE_EXCLUDED,,1,Improving Code,NO,53,0,0.0,58,0,0.0,0,0.0,UNCHANGED
so_3519182_block_2,ANALYZED,RAW,3,MULTIPLE_TYPES,NO,23,3,13.043478260869565,16,1,6.25,-2,-6.7934782608695645,IMPROVED
so_359634_block_2,ANALYZED,CLASS_MEMBER,2,Bug Fixing,NO,31,1,3.225806451612903,46,4,8.695652173913043,3,5.46984572230014,WORSENED
so_36789749_block_6,ANALYZED,RAW,1,Improving Code,NO,21,0,0.0,22,0,0.0,0,0.0,UNCHANGED
so_36805363_block_2,PARSE_EXCLUDED,,1,Improving Code,NO,87,0,0.0,87,0,0.0,0,0.0,UNCHANGED
so_36950444_block_6,ANALYZED,CLASS_MEMBER,1,Improving Code,NO,34,8,23.529411764705884,37,9,24.324324324324323,1,0.7949125596184388,WORSENED
so_3775893_block_6,ANALYZED,CLASS_MEMBER,2,Improving Code,YES,22,2,9.090909090909092,22,2,9.090909090909092,0,0.0,UNCHANGED
so_37957745_block_2,PARSE_EXCLUDED,,1,Bug Fixing,NO,15,0,0.0,25,0,0.0,0,0.0,UNCHANGED
so_38367701_block_2,PARSE_EXCLUDED,,1,Improving Code,NO,96,0,0.0,107,0,0.0,0,0.0,UNCHANGED
so_3870210_block_4,ANALYZED,RAW,6,Improving Code,NO,41,15,36.58536585365854,28,13,46.42857142857143,-2,9.843205574912893,IMPROVED
so_40056844_block_2,ANALYZED,CLASS_MEMBER,13,MULTIPLE_TYPES,NO,11,0,0.0,17,1,5.882352941176471,1,5.882352941176471,WORSENED
so_40317313_block_6,ANALYZED,RAW,1,Improving Code,NO,21,0,0.0,28,0,0.0,0,0.0,UNCHANGED
so_41225553_block_2,ANALYZED,METHOD_BODY,1,Improving Code,NO,31,6,19.35483870967742,33,7,21.21212121212121,1,1.8572825024437911,WORSENED
so_41251473_block_6,ANALYZED,CLASS_MEMBER,6,Improving Code,NO,20,1,5.0,20,1,5.0,0,0.0,UNCHANGED
so_41471859_block_4,PARSE_EXCLUDED,,1,Improving Code,NO,15,0,0.0,1,0,0.0,0,0.0,UNCHANGED
so_41588054_block_2,ANALYZED,CLASS_MEMBER,1,Improving Code,NO,58,2,3.4482758620689653,59,3,5.084745762711864,1,1.6364699006428989,WORSENED
so_41751396_block_8,PARSE_EXCLUDED,,3,Improving Code,YES,122,0,0.0,122,0,0.0,0,0.0,UNCHANGED
so_41800354_block_2,PARSE_EXCLUDED,,1,Improving Code,NO,63,0,0.0,62,0,0.0,0,0.0,UNCHANGED
so_42681543_block_4,PARSE_EXCLUDED,,4,MULTIPLE_TYPES,NO,100,0,0.0,100,0,0.0,0,0.0,UNCHANGED
so_4429257_block_2,PARSE_EXCLUDED,,8,MULTIPLE_TYPES,NO,31,0,0.0,26,0,0.0,0,0.0,UNCHANGED
so_453067_block_2,ANALYZED,CLASS_MEMBER,2,Improving Code,NO,11,1,9.090909090909092,20,2,10.0,1,0.9090909090909083,WORSENED
so_45774144_block_4,ANALYZED,METHOD_BODY,1,Improving Code,NO,10,0,0.0,18,0,0.0,0,0.0,UNCHANGED
so_46830988_block_4,ANALYZED,CLASS_MEMBER,1,Improving Code,NO,19,3,15.789473684210526,7,2,28.571428571428573,-1,12.781954887218047,IMPROVED
so_46887834_block_2,ANALYZED,METHOD_BODY,3,Bug Fixing,NO,12,2,16.666666666666668,13,4,30.76923076923077,2,14.102564102564102,WORSENED
so_47622507_block_4,ANALYZED,CLASS_MEMBER,1,Improving Code,NO,20,2,10.0,27,3,11.11111111111111,1,1.1111111111111107,WORSENED
so_50578162_block_2,PARSE_EXCLUDED,,2,Improving Code,NO,21,0,0.0,21,0,0.0,0,0.0,UNCHANGED
so_50738131_block_2,ANALYZED,RAW,1,Improving Code,NO,28,1,3.5714285714285716,26,1,3.8461538461538463,0,0.27472527472527464,UNCHANGED
so_51608517_block_2,PARSE_EXCLUDED,,2,Improving Code,NO,175,0,0.0,146,0,0.0,0,0.0,UNCHANGED
so_52144662_block_2,PARSE_EXCLUDED,,13,Improving Code,NO,85,0,0.0,89,0,0.0,0,0.0,UNCHANGED
so_52148106_block_4,PARSE_EXCLUDED,,12,Improving Code,NO,13,0,0.0,13,0,0.0,0,0.0,UNCHANGED
so_53110509_block_2,ANALYZED,CLASS_MEMBER,1,Improving Code,NO,8,2,25.0,8,2,25.0,0,0.0,UNCHANGED
so_53360610_block_4,PARSE_EXCLUDED,,1,Improving Code,NO,11,0,0.0,8,0,0.0,0,0.0,UNCHANGED
so_54119640_block_4,ANALYZED,RAW,6,Improving Code,NO,34,3,8.823529411764707,16,1,6.25,-2,-2.5735294117647065,IMPROVED
so_54298032_block_2,ANALYZED,RAW,2,Improving Code,NO,58,2,3.4482758620689653,65,6,9.23076923076923,4,5.782493368700265,WORSENED
so_54349072_block_2,ANALYZED,RAW,1,Improving Code,NO,51,0,0.0,35,0,0.0,0,0.0,UNCHANGED
so_55003173_block_2,ANALYZED,METHOD_BODY,3,Bug Fixing,NO,12,0,0.0,12,0,0.0,0,0.0,UNCHANGED
so_55728841_block_2,ANALYZED,CLASS_MEMBER,1,Improving Code,NO,32,1,3.125,36,4,11.11111111111111,3,7.986111111111111,WORSENED
so_55986044_block_2,PARSE_EXCLUDED,,4,Improving Code,NO,99,0,0.0,102,0,0.0,0,0.0,UNCHANGED
so_56259221_block_5,PARSE_EXCLUDED,,1,Improving Code,NO,7,0,0.0,9,0,0.0,0,0.0,UNCHANGED
so_56611483_block_2,ANALYZED,CLASS_MEMBER,1,Improving Code,NO,39,6,15.384615384615385,53,11,20.754716981132077,5,5.370101596516692,WORSENED
so_56815_block_2,ANALYZED,CLASS_MEMBER,1,Improving Code,NO,8,0,0.0,15,0,0.0,0,0.0,UNCHANGED
so_57398454_block_2,PARSE_EXCLUDED,,6,Improving Code,NO,197,0,0.0,192,0,0.0,0,0.0,UNCHANGED
so_57560955_block_2,ANALYZED,CLASS_MEMBER,1,Improving Code,NO,8,2,25.0,10,2,20.0,0,-5.0,UNCHANGED
so_57713309_block_2,ANALYZED,CLASS_MEMBER,1,Bug Fixing,NO,10,2,20.0,10,2,20.0,0,0.0,UNCHANGED
so_57997601_block_2,PARSE_EXCLUDED,,2,Improving Code,NO,15,0,0.0,22,0,0.0,0,0.0,UNCHANGED
so_58346204_block_2,PARSE_EXCLUDED,,1,Improving Code,NO,79,0,0.0,91,0,0.0,0,0.0,UNCHANGED
so_58370217_block_2,PARSE_EXCLUDED,,25,Improving Code,NO,14,0,0.0,45,0,0.0,0,0.0,UNCHANGED
so_58617321_block_2,PARSE_EXCLUDED,,6,Improving Code,NO,16,0,0.0,16,0,0.0,0,0.0,UNCHANGED
so_58993471_block_2,PARSE_EXCLUDED,,1,Improving Code,NO,24,0,0.0,185,0,0.0,0,0.0,UNCHANGED
so_59239733_block_4,ANALYZED,CLASS_MEMBER,1,Improving Code,NO,15,1,6.666666666666667,18,1,5.555555555555555,0,-1.1111111111111116,UNCHANGED
so_59394165_block_2,ANALYZED,CLASS_MEMBER,1,Improving Code,NO,24,0,0.0,12,0,0.0,0,0.0,UNCHANGED
so_59664498_block_2,PARSE_EXCLUDED,,15,MULTIPLE_TYPES,NO,42,0,0.0,60,0,0.0,0,0.0,UNCHANGED
so_59823215_block_2,ANALYZED,CLASS_MEMBER,1,Improving Code,NO,11,1,9.090909090909092,13,2,15.384615384615385,1,6.293706293706293,WORSENED
so_60123437_block_2,PARSE_EXCLUDED,,1,Improving Code,NO,8,0,0.0,9,0,0.0,0,0.0,UNCHANGED
so_60266789_block_2,ANALYZED,CLASS_MEMBER,6,Bug Fixing,NO,12,0,0.0,13,0,0.0,0,0.0,UNCHANGED
so_60565131_block_4,ANALYZED,CLASS_MEMBER,1,Improving Code,NO,18,0,0.0,18,0,0.0,0,0.0,UNCHANGED
so_60816572_block_6,PARSE_EXCLUDED,,1,Improving Code,NO,27,0,0.0,29,0,0.0,0,0.0,UNCHANGED
so_61006461_block_2,PARSE_EXCLUDED,,2,MULTIPLE_TYPES,NO,66,0,0.0,88,0,0.0,0,0.0,UNCHANGED
so_61391737_block_2,ANALYZED,CLASS_MEMBER,1,Improving Code,NO,16,1,6.25,20,3,15.0,2,8.75,WORSENED
so_61780137_block_2,PARSE_EXCLUDED,,2,Improving Code,NO,39,0,0.0,42,0,0.0,0,0.0,UNCHANGED
so_6236324_block_2,PARSE_EXCLUDED,,3,Improving Code,NO,310,0,0.0,338,0,0.0,0,0.0,UNCHANGED
so_62722315_block_2,PARSE_EXCLUDED,,4,Improving Code,NO,252,0,0.0,292,0,0.0,0,0.0,UNCHANGED
so_64804977_block_4,ANALYZED,METHOD_BODY,2,Bug Fixing,NO,13,1,7.6923076923076925,18,1,5.555555555555555,0,-2.136752136752137,UNCHANGED
so_64938483_block_2,PARSE_EXCLUDED,,7,Improving Code,NO,100,0,0.0,62,0,0.0,0,0.0,UNCHANGED
so_65112087_block_2,PARSE_EXCLUDED,,4,Improving Code,NO,12,0,0.0,13,0,0.0,0,0.0,UNCHANGED
so_6788456_block_2,ANALYZED,CLASS_MEMBER,2,Improving Code,NO,14,2,14.285714285714286,7,1,14.285714285714286,-1,0.0,IMPROVED
so_7649183_block_2,ANALYZED,CLASS_MEMBER,1,Improving Code,NO,9,0,0.0,14,0,0.0,0,0.0,UNCHANGED
so_7901334_block_2,PARSE_EXCLUDED,,1,Bug Fixing,NO,82,0,0.0,115,0,0.0,0,0.0,UNCHANGED
so_9109728_block_6,PARSE_EXCLUDED,,1,Improving Code,NO,5,0,0.0,62,0,0.0,0,0.0,UNCHANGED
so_9293885_block_2,ANALYZED,CLASS_MEMBER,15,MULTIPLE_TYPES,NO,11,1,9.090909090909092,17,1,5.882352941176471,0,-3.2085561497326207,UNCHANGED
so_9709606_block_2,PARSE_EXCLUDED,,5,Improving Code,NO,16,0,0.0,19,0,0.0,0,0.0,UNCHANGED
