snippet_id,version,mode,rule,ruleset,priority,analysis_dimension,begin_line,end_line,message,external_info_url
so_3870210_block_4,before,RAW,AssignmentInOperand,Error Prone,3,bug_risk,10,10,Avoid assignment to index in operand,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#assignmentinoperand
so_3870210_block_4,before,RAW,AssignmentInOperand,Error Prone,3,bug_risk,23,23,Avoid assignment to next in operand,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#assignmentinoperand
so_3870210_block_4,before,RAW,AssignmentInOperand,Error Prone,3,bug_risk,25,25,Avoid assignment to next in operand,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#assignmentinoperand
so_3870210_block_4,before,RAW,AssignmentInOperand,Error Prone,3,bug_risk,25,25,Avoid assignment to index in operand,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#assignmentinoperand
so_50738131_block_2,before,RAW,EmptyCatchBlock,Error Prone,3,bug_risk,27,29,Avoid empty catch blocks,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#emptycatchblock
so_54119640_block_4,before,RAW,AssignmentInOperand,Error Prone,3,bug_risk,18,18,Avoid assignment to sorter in operand,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#assignmentinoperand
so_54298032_block_2,before,RAW,UseTryWithResources,Best Practices,3,bug_risk,14,25,Consider using a try-with-resources statement instead of explicitly closing the resource,https://docs.pmd-code.org/snapshot/pmd_rules_java_bestpractices.html#usetrywithresources
so_54298032_block_2,before,RAW,UseTryWithResources,Best Practices,3,bug_risk,28,39,Consider using a try-with-resources statement instead of explicitly closing the resource,https://docs.pmd-code.org/snapshot/pmd_rules_java_bestpractices.html#usetrywithresources
so_13462440_block_6,after,RAW,IdenticalCatchBranches,Code Style,3,bug_risk,45,47,'catch' branch identical to 'InterruptedException' branch,https://docs.pmd-code.org/snapshot/pmd_rules_java_codestyle.html#identicalcatchbranches
so_13558161_block_6,after,RAW,EmptyCatchBlock,Error Prone,3,bug_risk,40,41,Avoid empty catch blocks,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#emptycatchblock
so_13558161_block_6,after,RAW,EmptyCatchBlock,Error Prone,3,bug_risk,109,110,Avoid empty catch blocks,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#emptycatchblock
so_2275596_block_2,after,RAW,CloseResource,Error Prone,3,bug_risk,12,12,Ensure that resources like this ExecutorService object are closed after use,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#closeresource
so_24127188_block_2,after,RAW,UseStringBufferForStringAppends,Performance,3,performance,13,13,Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings,https://docs.pmd-code.org/snapshot/pmd_rules_java_performance.html#usestringbufferforstringappends
so_24127188_block_2,after,RAW,PreserveStackTrace,Best Practices,3,bug_risk,19,19,Thrown exception does not preserve the stack trace of exception 'e' on all code paths,https://docs.pmd-code.org/snapshot/pmd_rules_java_bestpractices.html#preservestacktrace
so_29575747_block_2,after,RAW,CloseResource,Error Prone,3,bug_risk,22,22,Ensure that resources like this FileInputStream object are closed after use,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#closeresource
so_29575747_block_2,after,RAW,UseTryWithResources,Best Practices,3,bug_risk,31,59,Consider using a try-with-resources statement instead of explicitly closing the resource,https://docs.pmd-code.org/snapshot/pmd_rules_java_bestpractices.html#usetrywithresources
so_29575747_block_2,after,RAW,UseTryWithResources,Best Practices,3,bug_risk,35,54,Consider using a try-with-resources statement instead of explicitly closing the resource,https://docs.pmd-code.org/snapshot/pmd_rules_java_bestpractices.html#usetrywithresources
so_29575747_block_2,after,RAW,CloseResource,Error Prone,3,bug_risk,68,68,Ensure that resources like this FileOutputStream object are closed after use,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#closeresource
so_29575747_block_2,after,RAW,CloseResource,Error Prone,3,bug_risk,69,69,Ensure that resources like this ZipOutputStream object are closed after use,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#closeresource
so_29575747_block_2,after,RAW,CloseResource,Error Prone,3,bug_risk,72,72,Ensure that resources like this FileInputStream object are closed after use,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#closeresource
so_29575747_block_2,after,RAW,AssignmentInOperand,Error Prone,3,bug_risk,75,75,Avoid assignment to len in operand,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#assignmentinoperand
so_34174309_block_2,after,RAW,UseTryWithResources,Best Practices,3,bug_risk,30,46,Consider using a try-with-resources statement instead of explicitly closing the resource,https://docs.pmd-code.org/snapshot/pmd_rules_java_bestpractices.html#usetrywithresources
so_34174309_block_2,after,RAW,UseTryWithResources,Best Practices,3,bug_risk,62,76,Consider using a try-with-resources statement instead of explicitly closing the resource,https://docs.pmd-code.org/snapshot/pmd_rules_java_bestpractices.html#usetrywithresources
so_3870210_block_4,after,RAW,AssignmentInOperand,Error Prone,3,bug_risk,10,10,Avoid assignment to next in operand,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#assignmentinoperand
so_3870210_block_4,after,RAW,AssignmentInOperand,Error Prone,3,bug_risk,10,10,Avoid assignment to index in operand,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#assignmentinoperand
so_3870210_block_4,after,RAW,AssignmentInOperand,Error Prone,3,bug_risk,20,20,Avoid assignment to next in operand,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#assignmentinoperand
so_3870210_block_4,after,RAW,AssignmentInOperand,Error Prone,3,bug_risk,22,22,Avoid assignment to next in operand,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#assignmentinoperand
so_3870210_block_4,after,RAW,AssignmentInOperand,Error Prone,3,bug_risk,22,22,Avoid assignment to index in operand,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#assignmentinoperand
so_50738131_block_2,after,RAW,EmptyCatchBlock,Error Prone,3,bug_risk,27,29,Avoid empty catch blocks,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#emptycatchblock
so_54298032_block_2,after,RAW,UseTryWithResources,Best Practices,3,bug_risk,18,31,Consider using a try-with-resources statement instead of explicitly closing the resource,https://docs.pmd-code.org/snapshot/pmd_rules_java_bestpractices.html#usetrywithresources
so_54298032_block_2,after,RAW,UseTryWithResources,Best Practices,3,bug_risk,38,51,Consider using a try-with-resources statement instead of explicitly closing the resource,https://docs.pmd-code.org/snapshot/pmd_rules_java_bestpractices.html#usetrywithresources
so_19340685_block_2,before,CLASS_MEMBER,AssignmentInOperand,Error Prone,3,bug_risk,5,5,Avoid assignment to c in operand,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#assignmentinoperand
so_20274776_block_2,before,CLASS_MEMBER,EmptyCatchBlock,Error Prone,3,bug_risk,8,8,Avoid empty catch blocks,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#emptycatchblock
so_2086792_block_2,before,CLASS_MEMBER,IdenticalCatchBranches,Code Style,3,bug_risk,8,10,'catch' branch identical to 'ZipException' branch,https://docs.pmd-code.org/snapshot/pmd_rules_java_codestyle.html#identicalcatchbranches
so_2086792_block_2,before,CLASS_MEMBER,EmptyCatchBlock,Error Prone,3,bug_risk,16,17,Avoid empty catch blocks,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#emptycatchblock
so_21178275_block_2,before,CLASS_MEMBER,AssignmentInOperand,Error Prone,3,bug_risk,42,42,Avoid assignment to currentByte in operand,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#assignmentinoperand
so_27436796_block_2,before,CLASS_MEMBER,EmptyCatchBlock,Error Prone,3,bug_risk,17,18,Avoid empty catch blocks,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#emptycatchblock
so_32855556_block_4,before,CLASS_MEMBER,EmptyCatchBlock,Error Prone,3,bug_risk,6,6,Avoid empty catch blocks,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#emptycatchblock
so_32855556_block_4,before,CLASS_MEMBER,EmptyCatchBlock,Error Prone,3,bug_risk,11,11,Avoid empty catch blocks,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#emptycatchblock
so_36950444_block_6,before,CLASS_MEMBER,AssignmentInOperand,Error Prone,3,bug_risk,9,9,Avoid assignment to matchIndex in operand,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#assignmentinoperand
so_36950444_block_6,before,CLASS_MEMBER,AppendCharacterWithChar,Performance,3,performance,32,32,Avoid appending characters as strings in StringBuffer.append.,https://docs.pmd-code.org/snapshot/pmd_rules_java_performance.html#appendcharacterwithchar
so_453067_block_2,before,CLASS_MEMBER,AssignmentInOperand,Error Prone,3,bug_risk,5,5,Avoid assignment to ch in operand,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#assignmentinoperand
so_47622507_block_4,before,CLASS_MEMBER,AssignmentInOperand,Error Prone,3,bug_risk,17,17,Avoid assignment to cp in operand,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#assignmentinoperand
so_57713309_block_2,before,CLASS_MEMBER,UseStringBufferForStringAppends,Performance,3,performance,7,7,Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings,https://docs.pmd-code.org/snapshot/pmd_rules_java_performance.html#usestringbufferforstringappends
so_59823215_block_2,before,CLASS_MEMBER,AssignmentInOperand,Error Prone,3,bug_risk,8,8,Avoid assignment to length in operand,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#assignmentinoperand
so_61391737_block_2,before,CLASS_MEMBER,UseStringBufferForStringAppends,Performance,3,performance,10,10,Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings,https://docs.pmd-code.org/snapshot/pmd_rules_java_performance.html#usestringbufferforstringappends
so_9293885_block_2,before,CLASS_MEMBER,AssignmentInOperand,Error Prone,3,bug_risk,7,7,Avoid assignment to len in operand,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#assignmentinoperand
so_20274776_block_2,after,CLASS_MEMBER,EmptyCatchBlock,Error Prone,3,bug_risk,8,8,Avoid empty catch blocks,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#emptycatchblock
so_20274776_block_2,after,CLASS_MEMBER,EmptyCatchBlock,Error Prone,3,bug_risk,26,26,Avoid empty catch blocks,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#emptycatchblock
so_2086792_block_2,after,CLASS_MEMBER,EmptyCatchBlock,Error Prone,3,bug_risk,14,15,Avoid empty catch blocks,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#emptycatchblock
so_21178275_block_2,after,CLASS_MEMBER,AssignmentInOperand,Error Prone,3,bug_risk,42,42,Avoid assignment to currentByte in operand,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#assignmentinoperand
so_27436796_block_2,after,CLASS_MEMBER,EmptyCatchBlock,Error Prone,3,bug_risk,16,17,Avoid empty catch blocks,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#emptycatchblock
so_32855556_block_4,after,CLASS_MEMBER,EmptyCatchBlock,Error Prone,3,bug_risk,5,6,Avoid empty catch blocks,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#emptycatchblock
so_36950444_block_6,after,CLASS_MEMBER,AssignmentInOperand,Error Prone,3,bug_risk,8,8,Avoid assignment to matchIndex in operand,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#assignmentinoperand
so_36950444_block_6,after,CLASS_MEMBER,AppendCharacterWithChar,Performance,3,performance,35,35,Avoid appending characters as strings in StringBuffer.append.,https://docs.pmd-code.org/snapshot/pmd_rules_java_performance.html#appendcharacterwithchar
so_40056844_block_2,after,CLASS_MEMBER,CompareObjectsWithEquals,Error Prone,3,bug_risk,2,2,Use equals() to compare object references.,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#compareobjectswithequals
so_453067_block_2,after,CLASS_MEMBER,AssignmentInOperand,Error Prone,3,bug_risk,8,8,Avoid assignment to readChars in operand,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#assignmentinoperand
so_47622507_block_4,after,CLASS_MEMBER,AssignmentInOperand,Error Prone,3,bug_risk,27,27,Avoid assignment to cp in operand,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#assignmentinoperand
so_47622507_block_4,after,CLASS_MEMBER,EmptyCatchBlock,Error Prone,3,bug_risk,33,35,Avoid empty catch blocks,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#emptycatchblock
so_57713309_block_2,after,CLASS_MEMBER,UseStringBufferForStringAppends,Performance,3,performance,8,8,Prefer StringBuilder (non-synchronized) or StringBuffer (synchronized) over += for concatenating strings,https://docs.pmd-code.org/snapshot/pmd_rules_java_performance.html#usestringbufferforstringappends
so_59823215_block_2,after,CLASS_MEMBER,AssignmentInOperand,Error Prone,3,bug_risk,9,9,Avoid assignment to length in operand,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#assignmentinoperand
so_61391737_block_2,after,CLASS_MEMBER,AppendCharacterWithChar,Performance,3,performance,13,13,Avoid appending characters as strings in StringBuffer.append.,https://docs.pmd-code.org/snapshot/pmd_rules_java_performance.html#appendcharacterwithchar
so_9293885_block_2,after,CLASS_MEMBER,AssignmentInOperand,Error Prone,3,bug_risk,9,9,Avoid assignment to len in operand,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#assignmentinoperand
so_41225553_block_2,before,METHOD_BODY,ConsecutiveAppendsShouldReuse,Performance,3,performance,2,2,StringBuffer (or StringBuilder).append is called consecutively without reusing the target variable.,https://docs.pmd-code.org/snapshot/pmd_rules_java_performance.html#consecutiveappendsshouldreuse
so_46887834_block_2,before,METHOD_BODY,EmptyCatchBlock,Error Prone,3,bug_risk,8,9,Avoid empty catch blocks,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#emptycatchblock
so_41225553_block_2,after,METHOD_BODY,ConsecutiveAppendsShouldReuse,Performance,3,performance,2,2,StringBuffer (or StringBuilder).append is called consecutively without reusing the target variable.,https://docs.pmd-code.org/snapshot/pmd_rules_java_performance.html#consecutiveappendsshouldreuse
so_46887834_block_2,after,METHOD_BODY,EmptyCatchBlock,Error Prone,3,bug_risk,9,10,Avoid empty catch blocks,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#emptycatchblock
so_46887834_block_2,after,METHOD_BODY,IdenticalCatchBranches,Code Style,3,bug_risk,10,11,'catch' branch identical to 'InterruptedException' branch,https://docs.pmd-code.org/snapshot/pmd_rules_java_codestyle.html#identicalcatchbranches
so_46887834_block_2,after,METHOD_BODY,EmptyCatchBlock,Error Prone,3,bug_risk,10,11,Avoid empty catch blocks,https://docs.pmd-code.org/snapshot/pmd_rules_java_errorprone.html#emptycatchblock
