No,GH Project,Link SO,GitHub Java File Path,GitHub Method Name,GitHub Start Line,GitHub End Line,Stack Overflow Java File Path,Stack Overflow Method Name,Stack Overflow Start Line,Stack Overflow End Line
460,alibaba,https://stackoverflow.com/questions/41842039,alibaba/atlas/atlas-gradle-plugin/dexpatch/src/main/java/com/taobao/android/tpatch/utils/PathUtils.java,decode,634,649,41842039/41842039_2_recent.java,method,1,43
461,alibaba,https://stackoverflow.com/questions/19440217,alibaba/druid/core/src/test/java/com/alibaba/druid/test/util/OracleUtilsTest.java,invoke,32,39,19440217/19440217_2_recent.java,method,1,18
462,alibaba,https://stackoverflow.com/questions/3870210,alibaba/fastjson/src/main/java/com/alibaba/fastjson/util/AntiCollisionHashMap.java,HashIterator,704,711,3870210/3870210_4_recent.java,method,1,29
463,alibaba,https://stackoverflow.com/questions/4429257,alibaba/alink/core/src/main/java/com/alibaba/alink/common/annotation/UTF8Control.java,newBundle,21,50,4429257/4429257_2_9347476.java,newBundle,2,32
400,aliview,https://stackoverflow.com/questions/6702420,aliview/aliview/src/main/java/aliview/test/CreateColorChooserDialog.java,main,44,59,6702420/6702420_2_89518975.java,main,9,18
688,aliyun,https://stackoverflow.com/questions/801987,aliyun/aliyun-odps-java-sdk/odps-sdk/odps-sdk-commons/src/main/java/com/aliyun/odps/utils/StringUtils.java,humanReadableInt,111,128,801987/801987_2_recent.java,method,1,26
103,allwefantasy,https://stackoverflow.com/questions/59664498,allwefantasy/serviceframework/serviceframework-web/src/main/java/net/csdn/modules/http/HttpServer.java,close,227,233,59664498/59664498_2_recent.java,method,1,68
3,alphaautoleak,https://stackoverflow.com/questions/25985720,alphaautoleak/zelix-injection/src/main/java/zelix/otherhacks/net/wurstclient/forge/utils/MathUtils.java,isInteger,5,13,25985720/25985720_14_recent.java,method,1,21
674,ambiverse-nlu,https://stackoverflow.com/questions/18454342,ambiverse-nlu/ambiverse-nlu/src/main/java/de/mpg/mpi_inf/ambiversenlu/nlu/ner/util/Util.java,postVisitDirectory,25,31,18454342/18454342_2_recent.java,method,1,29
727,ant-media,https://stackoverflow.com/questions/7901334,ant-media/ant-media-server/src/main/java/org/red5/server/ClientList.java,remove,63,76,7901334/7901334_2_recent.java,method,1,124
728,ant-media,https://stackoverflow.com/questions/7901334,ant-media/ant-media-server/src/main/java/org/red5/server/ClientList.java,removeReleased,101,107,7901334/7901334_2_recent.java,method,1,124
24,antonkast,https://stackoverflow.com/questions/359634,antonkast/lightzone/lightcrafts/src/com/lightcrafts/image/metadata/values/DoubleMetaValue.java,isLegalValue,147,155,359634/359634_2_recent.java,method,1,46
432,anuj-kumar-sharma,https://stackoverflow.com/questions/31386664,anuj-kumar-sharma/ds-algo/trees/Tree.java,inOrder,39,45,31386664/31386664_4_95005617.java,method,1,22
433,anuj-kumar-sharma,https://stackoverflow.com/questions/31386664,anuj-kumar-sharma/ds-algo/trees/Tree.java,postOrder,54,60,31386664/31386664_4_95005617.java,method,1,22
225,anuken,https://stackoverflow.com/questions/6711693,anuken/arc/arc-core/src/arc/util/Strings.java,formatMillis,606,619,6711693/6711693_2_recent.java,method,1,20
226,anuken,https://stackoverflow.com/questions/29866762,anuken/arc/arc-core/src/arc/struct/TimSort.java,sort,134,179,29866762/29866762_2_89013107.java,method,1,40
514,apache,https://stackoverflow.com/questions/6702420,apache/netbeans/enterprise/j2ee.ddloaders/src/org/netbeans/modules/j2ee/ddloaders/web/multiview/PagesMultiViewElement.java,run,80,86,6702420/6702420_2_89518975.java,main,9,18
515,apache,https://stackoverflow.com/questions/6702420,apache/netbeans/enterprise/j2ee.ddloaders/src/org/netbeans/modules/j2ee/ddloaders/web/multiview/ServletsMultiViewElement.java,run,84,90,6702420/6702420_2_89518975.java,main,9,18
516,apache,https://stackoverflow.com/questions/6702420,apache/netbeans/enterprise/j2ee.ddloaders/src/org/netbeans/modules/j2ee/ddloaders/web/multiview/OverviewMultiViewElement.java,run,76,82,6702420/6702420_2_89518975.java,main,9,18
517,apache,https://stackoverflow.com/questions/6702420,apache/netbeans/enterprise/j2ee.ddloaders/src/org/netbeans/modules/j2ee/ddloaders/web/multiview/ReferencesMultiViewElement.java,run,82,88,6702420/6702420_2_89518975.java,main,9,18
518,apache,https://stackoverflow.com/questions/6702420,apache/netbeans/enterprise/j2ee.ddloaders/src/org/netbeans/modules/j2ee/ddloaders/web/multiview/SecurityMultiViewElement.java,run,107,113,6702420/6702420_2_89518975.java,main,9,18
519,apache,https://stackoverflow.com/questions/6702420,apache/netbeans/enterprise/j2ee.ddloaders/src/org/netbeans/modules/j2ee/ddloaders/web/multiview/FiltersMultiViewElement.java,run,82,88,6702420/6702420_2_89518975.java,main,9,18
520,apache,https://stackoverflow.com/questions/28901180,apache/netbeans/javafx/javafx2.samples/ChartAdvancedStockLine/src/chartadvancedstockline/ChartAdvancedStockLine.java,init,56,72,28901180/28901180_2_recent.java,AnimatedChart,13,37
521,apache,https://stackoverflow.com/questions/9293885,apache/netbeans/java/form/test/qa-functional/src/org/netbeans/qa/form/VisualDevelopmentUtil.java,copy,38,50,9293885/9293885_2_recent.java,method,1,18
522,apache,https://stackoverflow.com/questions/58370217,apache/incubator-hugegraph-toolchain/hugegraph-hubble/hubble-be/src/main/java/org/apache/hugegraph/config/GlobalCorsConfig.java,corsFilter,30,44,58370217/58370217_2_recent.java,method,1,45
523,apache,https://stackoverflow.com/questions/42681543,apache/rocketmq/proxy/src/main/java/org/apache/rocketmq/proxy/remoting/protocol/http2proxy/Http2ProxyBackendHandler.java,channelRead,43,55,42681543/42681543_4_recent.java,method,1,166
524,apache,https://stackoverflow.com/questions/42681543,apache/rocketmq/proxy/src/main/java/org/apache/rocketmq/proxy/remoting/protocol/http2proxy/Http2ProxyFrontendHandler.java,channelRead,40,55,42681543/42681543_4_recent.java,method,1,166
525,apache,https://stackoverflow.com/questions/18454342,apache/iotdb/consensus/src/main/java/org/apache/iotdb/consensus/common/Utils.java,visitFile,50,57,18454342/18454342_2_recent.java,method,1,29
526,apache,https://stackoverflow.com/questions/42681543,apache/pulsar/pulsar-broker/src/test/java/org/apache/pulsar/broker/auth/PortForwarder.java,channelRead,129,144,42681543/42681543_4_recent.java,method,1,166
527,apache,https://stackoverflow.com/questions/42681543,apache/pulsar/pulsar-broker/src/test/java/org/apache/pulsar/broker/auth/PortForwarder.java,channelRead,173,185,42681543/42681543_4_recent.java,method,1,166
546,apna-college,https://stackoverflow.com/questions/46193578,apna-college/alpha/10_Backtracking/Classroom.java,printSudoku,62,69,46193578/46193578_2_recent.java,method,1,62
117,aragozin,https://stackoverflow.com/questions/61780137,aragozin/jvm-tools/bstub/src/test/java/org/gridkit/jvmtool/bstub/DummyWorker.java,run,5,13,61780137/61780137_2_recent.java,method,1,50
655,arduino,https://stackoverflow.com/questions/58346204,arduino/arduino/arduino-core/src/processing/app/legacy/PApplet.java,split,105,134,58346204/58346204_2_recent.java,method,1,103
656,arduino,https://stackoverflow.com/questions/58346204,arduino/arduino/arduino-core/src/processing/app/legacy/PApplet.java,parseInt,183,193,58346204/58346204_2_recent.java,method,1,103
712,artisynth,https://stackoverflow.com/questions/6236324,artisynth/artisynth_core/src/artisynth/core/moviemaker/MakeMovieFromData.java,doIt,77,168,6236324/6236324_2_recent.java,method,1,521
713,artisynth,https://stackoverflow.com/questions/6236324,artisynth/artisynth_core/src/artisynth/core/moviemaker/MakeMovieFromData.java,createDataSink,174,195,6236324/6236324_2_recent.java,method,1,521
714,artisynth,https://stackoverflow.com/questions/6236324,artisynth/artisynth_core/src/artisynth/core/moviemaker/MakeMovieFromData.java,dataSinkUpdate,261,275,6236324/6236324_2_recent.java,method,1,521
715,artisynth,https://stackoverflow.com/questions/6236324,artisynth/artisynth_core/src/artisynth/core/moviemaker/MakeMovieFromData.java,createMediaLocator,282,301,6236324/6236324_2_recent.java,method,1,521
716,artisynth,https://stackoverflow.com/questions/6236324,artisynth/artisynth_core/src/artisynth/core/moviemaker/MakeMovieFromData.java,read,412,459,6236324/6236324_2_recent.java,method,1,521
717,artisynth,https://stackoverflow.com/questions/6236324,artisynth/artisynth_core/src/artisynth/core/moviemaker/MakeMovieFromData.java,ImageSourceStream,389,399,6236324/6236324_2_recent.java,method,1,521
355,asolarlez,https://stackoverflow.com/questions/1520212,asolarlez/sketch-frontend/src/main/java/sketch/compiler/solvers/parallel/WilcoxonStrategy.java,shuffleArray,55,64,1520212/1520212_2_recent.java,shuffleArray,19,31
408,asystat,https://stackoverflow.com/questions/6702420,asystat/final-android-resizer/src/FinalResizer.java,main,31,39,6702420/6702420_2_89518975.java,main,9,18
793,atilika,https://stackoverflow.com/questions/35057638,atilika/kuromoji/kuromoji-benchmark/src/main/java/com/atilika/kuromoji/benchmark/UserDictionaryConverter.java,escape,77,83,35057638/35057638_2_109493925.java,method,1,16
118,atjiu,https://stackoverflow.com/questions/41471859,atjiu/pybbs/src/main/java/co/yiiu/pybbs/util/bcrypt/BCryptPasswordEncoder.java,encode,63,75,41471859/41471859_4_135239059.java,method,1,15
39,aws,https://stackoverflow.com/questions/32855556,aws/amazon-redshift-jdbc-driver/src/main/java/com/amazon/redshift/util/JdbcBlackHole.java,close,14,22,32855556/32855556_4_100737457.java,method,1,12
552,azure,https://stackoverflow.com/questions/30942772,azure/azure-sdk-for-java/sdk/cosmos/azure-cosmos/src/main/java/com/azure/cosmos/implementation/guava25/base/Splitter.java,computeNext,533,597,30942772/30942772_4_recent.java,method,1,62
553,azure,https://stackoverflow.com/questions/32365355,azure/azure-sdk-for-java/sdk/cosmos/azure-cosmos/src/test/java/com/azure/cosmos/implementation/directconnectivity/ConsistencyWriterTest.java,run,184,191,32365355/32365355_2_recent.java,main,8,71
554,azure,https://stackoverflow.com/questions/32365355,azure/azure-sdk-for-java/sdk/cosmos/azure-cosmos/src/test/java/com/azure/cosmos/implementation/directconnectivity/StoreReaderTest.java,run,80,87,32365355/32365355_2_recent.java,main,8,71
231,ballerina-platform,https://stackoverflow.com/questions/18454342,ballerina-platform/ballerina-lang/cli/ballerina-cli/src/main/java/io/ballerina/cli/launcher/util/BFileUtil.java,visitFile,94,100,18454342/18454342_2_recent.java,method,1,29
232,ballerina-platform,https://stackoverflow.com/questions/18454342,ballerina-platform/ballerina-lang/tests/ballerina-test-utils/src/main/java/org/ballerinalang/test/util/BFileUtil.java,visitFile,101,107,18454342/18454342_2_recent.java,method,1,29
536,barchart,https://stackoverflow.com/questions/58993471,barchart/barchart-udt/barchart-udt-reference-jdk6/src/main/java/sun/security/tools/KeyTool.java,toHexString,2383,2393,58993471/58993471_2_recent.java,method,1,363
569,bazelbuild,https://stackoverflow.com/questions/63342907,bazelbuild/bazel/src/tools/android/java/com/google/devtools/build/android/desugar/io/HeaderClassLoader.java,visit,94,104,63342907/63342907_2_recent.java,method,1,43
570,bazelbuild,https://stackoverflow.com/questions/54298032,bazelbuild/bazel/src/main/java/com/google/devtools/build/lib/vfs/FileSystemUtils.java,copyLargeBuffer,413,425,54298032/54298032_2_190009745.java,copy,52,65
556,bcgit,https://stackoverflow.com/questions/40056844,bcgit/bc-java/core/src/test/java/org/bouncycastle/asn1/test/OCSPTest.java,isSameAs,75,93,40056844/40056844_2_recent.java,method,1,17
557,bcgit,https://stackoverflow.com/questions/40056844,bcgit/bc-java/core/src/test/java/org/bouncycastle/crypto/test/PKCS12Test.java,isEqual,25,43,40056844/40056844_2_recent.java,method,1,17
558,bcgit,https://stackoverflow.com/questions/40056844,bcgit/bc-java/util/src/test/java/org/bouncycastle/asn1/smime/test/SMIMETest.java,isSameAs,25,43,40056844/40056844_2_recent.java,method,1,17
559,bcgit,https://stackoverflow.com/questions/40056844,bcgit/bc-java/util/src/test/java/org/bouncycastle/asn1/cms/test/CMSTest.java,isSameAs,125,143,40056844/40056844_2_recent.java,method,1,17
560,bcgit,https://stackoverflow.com/questions/40056844,bcgit/bc-java/prov/src/test/jdk1.3/org/bouncycastle/jce/provider/test/PSSTest.java,arrayEquals,41,59,40056844/40056844_2_recent.java,method,1,17
561,bcgit,https://stackoverflow.com/questions/40056844,bcgit/bc-java/prov/src/test/java/org/bouncycastle/jce/provider/test/PSSTest.java,arrayEquals,50,68,40056844/40056844_2_recent.java,method,1,17
562,bcgit,https://stackoverflow.com/questions/40056844,bcgit/bc-java/prov/src/test/java/org/bouncycastle/jce/provider/test/FIPSDESTest.java,equalArray,57,75,40056844/40056844_2_recent.java,method,1,17
563,bcgit,https://stackoverflow.com/questions/40056844,bcgit/bc-java/prov/src/test/java/org/bouncycastle/jce/provider/test/DESedeTest.java,equalArray,82,100,40056844/40056844_2_recent.java,method,1,17
564,bcgit,https://stackoverflow.com/questions/40056844,bcgit/bc-java/prov/src/test/jdk1.1/org/bouncycastle/jce/provider/test/RSATest.java,arrayEquals,53,71,40056844/40056844_2_recent.java,method,1,17
565,bcgit,https://stackoverflow.com/questions/40056844,bcgit/bc-java/prov/src/test/jdk1.4/org/bouncycastle/jce/provider/test/ECIESTest.java,sameAs,39,57,40056844/40056844_2_recent.java,method,1,17
566,bcgit,https://stackoverflow.com/questions/40056844,bcgit/bc-java/prov/src/test/jdk1.4/org/bouncycastle/jce/provider/test/DHTest.java,arrayEquals,478,496,40056844/40056844_2_recent.java,method,1,17
567,bcgit,https://stackoverflow.com/questions/40056844,bcgit/bc-java/prov/src/test/jdk1.4/org/bouncycastle/jce/provider/test/PSSTest.java,arrayEquals,44,62,40056844/40056844_2_recent.java,method,1,17
531,bluesoft-rnd,https://stackoverflow.com/questions/138950,bluesoft-rnd/aperte-workflow-core/core/editor/src/main/java/org/aperteworkflow/editor/actioneditor/EncodingFilter.java,doFilter,23,40,138950/138950_6_recent.java,doFilter,15,28
484,boecker-lab,https://stackoverflow.com/questions/12981202,boecker-lab/sirius/sirius_cli/src/main/java/de/unijena/bioinf/ms/frontend/core/PasswordCrypter.java,encrypt,58,64,12981202/12981202_2_recent.java,method,1,186
485,boecker-lab,https://stackoverflow.com/questions/12981202,boecker-lab/sirius/sirius_cli/src/main/java/de/unijena/bioinf/ms/frontend/core/PasswordCrypter.java,decrypt,70,76,12981202/12981202_2_recent.java,method,1,186
430,bookdash,https://stackoverflow.com/questions/54298032,bookdash/bookdash-android-app/app/src/main/java/org/bookdash/android/data/utils/ZipManager.java,copy,80,93,54298032/54298032_2_recent.java,copy,58,72
156,bramp,https://stackoverflow.com/questions/31764338,bramp/ffmpeg-cli-wrapper/src/main/java/net/bramp/commons/lang3/math/gson/FractionAdapter.java,write,66,73,31764338/31764338_6_96458495.java,write,15,24
508,breznak,https://stackoverflow.com/questions/16540679,breznak/opends-oss/src/eu/opends/settingsController/ConnectionHandler.java,loadXMLFromString,79,85,16540679/16540679_1_64924359.java,method,1,26
110,bumptech,https://stackoverflow.com/questions/33561612,bumptech/glide/instrumentation/src/androidTest/java/com/bumptech/glide/CachingTest.java,run,339,346,33561612/33561612_2_recent.java,method,1,33
591,bwssytems,https://stackoverflow.com/questions/12981202,bwssytems/ha-bridge/src/main/java/com/bwssystems/HABridge/BridgeSecurity.java,encrypt,404,410,12981202/12981202_2_recent.java,method,1,186
592,bwssytems,https://stackoverflow.com/questions/12981202,bwssytems/ha-bridge/src/main/java/com/bwssystems/HABridge/BridgeSecurity.java,decrypt,416,422,12981202/12981202_2_recent.java,method,1,186
115,camunda-community-hub,https://stackoverflow.com/questions/59430454,camunda-community-hub/camunda-8-lowcode-ui-template/src/main/java/org/example/camunda/process/solution/ProcessApplication.java,swaggerOpenAPI,22,33,59430454/59430454_2_recent.java,method,1,72
285,camunda-consulting,https://stackoverflow.com/questions/15160629,camunda-consulting/camunda-7-code-examples/snippets/camunda-migration-examples/src/test/java/org/camunda/ProcessScenarioTest.java,testHappyPath,49,68,15160629/15160629_2_recent.java,method,1,25
286,camunda-consulting,https://stackoverflow.com/questions/15160629,camunda-consulting/camunda-7-code-examples/snippets/auto-tenant-generator/dynamo/src/test/java/com/camunda/poc/demo/ProcessUnitTest.java,testHappyPath,50,77,15160629/15160629_2_recent.java,method,1,25
287,camunda-consulting,https://stackoverflow.com/questions/15160629,camunda-consulting/camunda-7-code-examples/snippets/auto-tenant-generator/dynamo/src/test/java/com/camunda/poc/demo/ProcessScenarioTest.java,testHappyPath,44,63,15160629/15160629_2_recent.java,method,1,25
288,camunda-consulting,https://stackoverflow.com/questions/15160629,camunda-consulting/camunda-7-code-examples/snippets/test-delegate-createinstances/src/test/java/org/camunda/bpm/ProcessScenarioTest.java,testHappyPath,49,68,15160629/15160629_2_recent.java,method,1,25
289,camunda-consulting,https://stackoverflow.com/questions/56259221,camunda-consulting/camunda-7-code-examples/one-time-examples/fitnesse-dmn/camunda-dmn-fitnesse-fixture/src/main/java/com/camunda/demo/dmntraining/taskrouting/fitnesse/SysoutClasspath.java,main,8,18,56259221/56259221_5_recent.java,method,1,13
290,camunda-consulting,https://stackoverflow.com/questions/15160629,camunda-consulting/code/snippets/camunda-migration-examples/src/test/java/org/camunda/ProcessScenarioTest.java,testHappyPath,49,68,15160629/15160629_2_recent.java,method,1,25
291,camunda-consulting,https://stackoverflow.com/questions/15160629,camunda-consulting/code/snippets/auto-tenant-generator/dynamo/src/test/java/com/camunda/poc/demo/ProcessUnitTest.java,testHappyPath,50,77,15160629/15160629_2_recent.java,method,1,25
292,camunda-consulting,https://stackoverflow.com/questions/15160629,camunda-consulting/code/snippets/auto-tenant-generator/dynamo/src/test/java/com/camunda/poc/demo/ProcessScenarioTest.java,testHappyPath,44,63,15160629/15160629_2_recent.java,method,1,25
293,camunda-consulting,https://stackoverflow.com/questions/15160629,camunda-consulting/code/snippets/test-delegate-createinstances/src/test/java/org/camunda/bpm/ProcessScenarioTest.java,testHappyPath,49,68,15160629/15160629_2_recent.java,method,1,25
294,camunda-consulting,https://stackoverflow.com/questions/56259221,camunda-consulting/code/one-time-examples/fitnesse-dmn/camunda-dmn-fitnesse-fixture/src/main/java/com/camunda/demo/dmntraining/taskrouting/fitnesse/SysoutClasspath.java,main,8,18,56259221/56259221_5_recent.java,method,1,13
682,carlspring,https://stackoverflow.com/questions/18454342,carlspring/s3fs-nio/src/test/java/org/carlspring/cloud/storage/s3fs/util/S3ClientMock.java,postVisitDirectory,158,169,18454342/18454342_2_recent.java,method,1,29
414,ccrama,https://stackoverflow.com/questions/27436796,ccrama/slide/app/src/main/java/me/ccrama/redditslide/util/DrawableUtil.java,drawCanvas,44,50,27436796/27436796_2_recent.java,method,1,69
396,changmingxie,https://stackoverflow.com/questions/58370217,changmingxie/tcc-transaction/tcc-transaction-dashboard/src/main/java/org/mengyun/tcctransaction/dashboard/security/SecurityConfig.java,corsFilter,90,101,58370217/58370217_2_recent.java,method,1,45
93,chatty,https://stackoverflow.com/questions/45262825,chatty/chatty/src/chatty/util/commands/Calc.java,eval,89,206,45262825/45262825_4_recent.java,method,1,124
94,chatty,https://stackoverflow.com/questions/45262825,chatty/chatty/src/chatty/util/commands/Calc.java,parseFactor,155,204,45262825/45262825_4_recent.java,method,1,124
314,chrislacy,https://stackoverflow.com/questions/9293885,chrislacy/tweetlanes/android/app/src/main/java/com/tweetlanes/android/core/view/ImageViewActivity.java,copy,184,196,9293885/9293885_2_recent.java,method,1,18
